date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:48:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2004%20Sep%202021%2001:49:05%20GMT	http://zenon.network/legacy/	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/legacy/index.html	(from https://zenon.network/)
21:48:15	7400/7400	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2022%20Aug%202021%2009:42:20%20GMT	https://zenon.network/js/rSlider.min.js	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/js/rSlider.min.js	(from https://zenon.network/)
21:48:15	89500/89500	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2022%20Aug%202021%2009:42:20%20GMT	https://zenon.network/js/jquery-3.6.0.min.js	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/js/jquery-3.6.0.min.js	(from https://zenon.network/)
21:48:15	347845/347845	---M--	200	added ('OK')	application/pdf	date:Tue,%2023%20Feb%202021%2009:21:56%20GMT	https://zenon.network/download/whitepaper.pdf	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/download/whitepaper.pdf	(from https://zenon.network/)
21:48:16	7897/7897	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2022%20Aug%202021%2009:42:20%20GMT	https://zenon.network/js/main.js	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/js/main.js	(from https://zenon.network/)
21:48:16	83094/83094	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/CircularStd-Book.eot	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-Book.eot	(from https://zenon.network/css/styles.css)
21:48:17	83094/83094	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/CircularStd-Book.eot?	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-Bookd41d.eot	(from https://zenon.network/css/styles.css)
21:48:17	24856/24856	---M--	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2009:42:13%20GMT	https://zenon.network/fonts/CircularStd-Book.woff2	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-Book.html	(from https://zenon.network/css/styles.css)
21:48:18	34468/34468	---MCZ	200	added ('OK')	application/font-woff	date:Sun,%2022%20Aug%202021%2009:42:13%20GMT	https://zenon.network/fonts/CircularStd-Book.woff	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-Book.woff	(from https://zenon.network/css/styles.css)
21:48:18	82864/82864	---MCZ	200	added ('OK')	application/font-sfnt	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/CircularStd-Book.ttf	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-Book.ttf	(from https://zenon.network/css/styles.css)
21:48:19	86304/86304	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/CircularStd-MediumItalic.eot	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-MediumItalic.eot	(from https://zenon.network/css/styles.css)
21:48:19	86304/86304	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/CircularStd-MediumItalic.eot?	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-MediumItalicd41d.eot	(from https://zenon.network/css/styles.css)
21:48:20	30752/30752	---M--	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/CircularStd-MediumItalic.woff2	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-MediumItalic.html	(from https://zenon.network/css/styles.css)
21:48:20	42072/42072	---MCZ	200	added ('OK')	application/font-woff	date:Sun,%2022%20Aug%202021%2009:42:13%20GMT	https://zenon.network/fonts/CircularStd-MediumItalic.woff	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-MediumItalic.woff	(from https://zenon.network/css/styles.css)
21:48:21	86040/86040	---MCZ	200	added ('OK')	application/font-sfnt	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/CircularStd-MediumItalic.ttf	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-MediumItalic.ttf	(from https://zenon.network/css/styles.css)
21:48:21	86554/86554	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/CircularStd-Black.eot	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-Black.eot	(from https://zenon.network/css/styles.css)
21:48:22	86554/86554	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/CircularStd-Black.eot?	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-Blackd41d.eot	(from https://zenon.network/css/styles.css)
